sport,slate_date,game_id,player_id,player,team,opponent,market,projection,projection_lower_80,projection_upper_80,residual_standard_deviation,model_name,validation_mae,batting_order,position,expected_plate_appearances,days_rest,source_file
MLB,2026-07-21,824735,678011,Anthony Seigler,Boston Red Sox,Baltimore Orioles,hitter_rbis,0.471,0.0,1.87,0.847,xgboost,0.6272,1.0,2B,4.2746,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,805808,Kevin McGonigle,Detroit Tigers,Chicago Cubs,hitter_rbis,0.47,0.0,1.868,0.847,xgboost,0.6272,2.0,SS,4.5407,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824409,677587,Brayan Rocchio,Cleveland Guardians,Minnesota Twins,hitter_rbis,0.468,0.0,1.867,0.847,xgboost,0.6272,2.0,SS,4.2573,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824735,680776,Jarren Duran,Boston Red Sox,Baltimore Orioles,hitter_rbis,0.468,0.0,1.867,0.847,xgboost,0.6272,7.0,LF,3.8987,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822787,543807,George Springer,Toronto Blue Jays,Tampa Bay Rays,hitter_rbis,0.467,0.0,1.865,0.847,xgboost,0.6272,4.0,DH,4.2741,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823114,686527,Dominic Canzone,Seattle Mariners,Cincinnati Reds,hitter_rbis,0.466,0.0,1.864,0.847,xgboost,0.6272,3.0,DH,4.0409,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823114,806068,Colt Emerson,Seattle Mariners,Cincinnati Reds,hitter_rbis,0.465,0.0,1.864,0.847,xgboost,0.6272,9.0,SS,3.7243,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823437,681082,Bryson Stott,Philadelphia Phillies,Los Angeles Dodgers,hitter_rbis,0.462,0.0,1.861,0.847,xgboost,0.6272,9.0,2B,3.8747,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,677649,Ezequiel Duran,Texas Rangers,Chicago White Sox,hitter_rbis,0.462,0.0,1.86,0.847,xgboost,0.6272,6.0,SS,3.8173,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824005,687093,Vaughn Grissom,Los Angeles Angels,St. Louis Cardinals,hitter_rbis,0.462,0.0,1.861,0.847,xgboost,0.6272,5.0,3B,4.0133,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,669134,Luis Campusano,San Diego Padres,Atlanta Braves,hitter_rbis,0.461,0.0,1.859,0.847,xgboost,0.6272,6.0,C,2.7469,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,691176,Jasson Domínguez,New York Yankees,Pittsburgh Pirates,hitter_rbis,0.46,0.0,1.859,0.847,xgboost,0.6272,5.0,RF,3.95,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823114,624431,Jose Trevino,Cincinnati Reds,Seattle Mariners,hitter_rbis,0.457,0.0,1.856,0.847,xgboost,0.6272,7.0,C,3.5935,3.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,553869,Elias Díaz,Texas Rangers,Chicago White Sox,hitter_rbis,0.454,0.0,1.853,0.847,xgboost,0.6272,8.0,C,2.61,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824005,624585,Jorge Soler,Los Angeles Angels,St. Louis Cardinals,hitter_rbis,0.453,0.0,1.852,0.847,xgboost,0.6272,4.0,DH,4.0959,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824329,687859,Troy Johnston,Colorado Rockies,Washington Nationals,hitter_rbis,0.453,0.0,1.852,0.847,xgboost,0.6272,8.0,RF,3.3509,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824329,650489,Willi Castro,Colorado Rockies,Washington Nationals,hitter_rbis,0.452,0.0,1.85,0.847,xgboost,0.6272,4.0,2B,3.6214,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824735,663853,Romy Gonzalez,Boston Red Sox,Baltimore Orioles,hitter_rbis,0.45,0.0,1.848,0.847,xgboost,0.6272,6.0,1B,3.7857,2.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,665487,Fernando Tatis Jr.,San Diego Padres,Atlanta Braves,hitter_rbis,0.449,0.0,1.847,0.847,xgboost,0.6272,1.0,RF,4.4268,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,825056,672695,Geraldo Perdomo,Arizona Diamondbacks,Athletics,hitter_rbis,0.449,0.0,1.848,0.847,xgboost,0.6272,2.0,SS,4.27,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824085,686475,Tyler Tolbert,Kansas City Royals,San Francisco Giants,hitter_rbis,0.449,0.0,1.848,0.847,xgboost,0.6272,9.0,SS,2.3714,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824085,657041,Lane Thomas,Kansas City Royals,San Francisco Giants,hitter_rbis,0.448,0.0,1.847,0.847,xgboost,0.6272,2.0,CF,4.0551,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,630105,Jake Cronenworth,San Diego Padres,Atlanta Braves,hitter_rbis,0.447,0.0,1.845,0.847,xgboost,0.6272,2.0,2B,3.7902,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,693304,Nick Gonzales,Pittsburgh Pirates,New York Yankees,hitter_rbis,0.446,0.0,1.845,0.847,xgboost,0.6272,5.0,3B,4.4432,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,608348,Carson Kelly,Chicago Cubs,Detroit Tigers,hitter_rbis,0.445,0.0,1.843,0.847,xgboost,0.6272,4.0,C,3.6223,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822787,676391,Ernie Clement,Toronto Blue Jays,Tampa Bay Rays,hitter_rbis,0.445,0.0,1.843,0.847,xgboost,0.6272,3.0,2B,4.3862,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824165,665052,Griffin Conine,Miami Marlins,Houston Astros,hitter_rbis,0.444,0.0,1.843,0.847,xgboost,0.6272,6.0,RF,2.8759,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823437,669242,Tommy Edman,Los Angeles Dodgers,Philadelphia Phillies,hitter_rbis,0.444,0.0,1.843,0.847,xgboost,0.6272,7.0,2B,3.6954,1.0,outputs/hitters/today_hitter_projections.csv
