pitcher,projected_ks,line,over_prob,under_prob,fair_over_odds,fair_under_odds
Tanner Bibee,3.08,4.5,0.198,0.802,404,-404
Tanner Bibee,3.08,5.5,0.092,0.908,985,-985
Tanner Bibee,3.08,6.5,0.038,0.962,2552,-2552
Tanner Bibee,3.08,7.5,0.014,0.986,7185,-7185
Tanner Bibee,3.08,8.5,0.004,0.996,22144,-22144
Bryan Hudson,2.65,3.5,0.275,0.725,264,-264
Bryan Hudson,2.65,4.5,0.13,0.87,671,-671
Bryan Hudson,2.65,5.5,0.053,0.947,1794,-1794
Bryan Hudson,2.65,6.5,0.019,0.981,5215,-5215
Bryan Hudson,2.65,7.5,0.006,0.994,16704,-16704
Bryan Hudson,2.65,8.5,0.002,0.998,59088,-59088
Eduardo Rivera,2.0,3.5,0.143,0.857,600,-600
Eduardo Rivera,2.0,4.5,0.053,0.947,1799,-1799
Eduardo Rivera,2.0,5.5,0.017,0.983,5937,-5937
Eduardo Rivera,2.0,6.5,0.005,0.995,21957,-21957
Eduardo Rivera,2.0,7.5,0.001,0.999,91081,-91081
Eduardo Rivera,2.0,8.5,0.0,1.0,421046,-421046
PJ Poulin,2.0,3.5,0.143,0.857,600,-600
PJ Poulin,2.0,4.5,0.053,0.947,1799,-1799
PJ Poulin,2.0,5.5,0.017,0.983,5937,-5937
PJ Poulin,2.0,6.5,0.005,0.995,21957,-21957
PJ Poulin,2.0,7.5,0.001,0.999,91081,-91081
PJ Poulin,2.0,8.5,0.0,1.0,421046,-421046
