date,game_id,team,opponent,side,is_home,pitcher_id,pitcher_name,opposing_pitcher_id,opposing_pitcher_name,status,status_code,venue_id,venue,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops
2026-03-27,823324,Detroit Tigers,San Diego Padres,away,0.0,664285,Framber Valdez,650633.0,Michael King,Final,F,2680.0,Petco Park,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674
2026-03-27,823324,San Diego Padres,Detroit Tigers,home,1.0,650633,Michael King,664285.0,Framber Valdez,Final,F,2680.0,Petco Park,8.684782608695652,4.25,7.869565217391305,3.619565217391304,0.236,0.315,0.398,0.713
2026-03-27,823893,Colorado Rockies,Miami Marlins,away,0.0,607536,Kyle Freeland,645261.0,Sandy Alcantara,Final,F,4169.0,loanDepot park,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742
2026-03-27,823893,Miami Marlins,Colorado Rockies,home,1.0,645261,Sandy Alcantara,607536.0,Kyle Freeland,Final,F,4169.0,loanDepot park,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466,0.257,0.328,0.424,0.752
2026-03-27,823971,Arizona Diamondbacks,Los Angeles Dodgers,away,0.0,669194,Ryne Nelson,686218.0,Emmet Sheehan,Final,F,22.0,UNIQLO Field at Dodger Stadium,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383,0.264,0.346,0.437,0.783
2026-03-27,823971,Los Angeles Dodgers,Arizona Diamondbacks,home,1.0,686218,Emmet Sheehan,669194.0,Ryne Nelson,Final,F,22.0,UNIQLO Field at Dodger Stadium,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69
2026-03-27,824216,Los Angeles Angels,Houston Astros,away,0.0,579328,Yusei Kikuchi,681347.0,Mike Burrows,Final,F,2392.0,Daikin Park,8.189473684210526,4.547368421052632,8.105263157894736,3.284210526315789,0.241,0.315,0.41,0.725
2026-03-27,824216,Houston Astros,Los Angeles Angels,home,1.0,681347,Mike Burrows,579328.0,Yusei Kikuchi,Final,F,2392.0,Daikin Park,9.451612903225806,4.462365591397849,8.053763440860216,3.204301075268817,0.239,0.315,0.393,0.708
2026-03-27,824946,Kansas City Royals,Atlanta Braves,away,0.0,666142,Cole Ragans,519242.0,Chris Sale,Final,F,4705.0,Truist Park,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728
2026-03-27,824946,Atlanta Braves,Kansas City Royals,home,1.0,519242,Chris Sale,666142.0,Cole Ragans,Final,F,4705.0,Truist Park,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511,0.247,0.318,0.398,0.716
2026-03-28,822838,Athletics,Toronto Blue Jays,away,0.0,605488,Jeffrey Springs,656302.0,Dylan Cease,Final,F,14.0,Rogers Centre,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245,0.244,0.305,0.383,0.688
2026-03-28,822838,Toronto Blue Jays,Athletics,home,1.0,656302,Dylan Cease,605488.0,Jeffrey Springs,Final,F,14.0,Rogers Centre,8.75,4.554347826086956,8.423913043478262,3.630434782608696,0.247,0.325,0.407,0.732
2026-03-28,823082,Tampa Bay Rays,St. Louis Cardinals,away,0.0,671212,Joe Boyle,700241.0,Michael McGreevy,Final,F,2889.0,Busch Stadium,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715
2026-03-28,823082,St. Louis Cardinals,Tampa Bay Rays,home,1.0,700241,Michael McGreevy,671212.0,Joe Boyle,Final,F,2889.0,Busch Stadium,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383,0.258,0.334,0.396,0.73
2026-03-28,823161,Cleveland Guardians,Seattle Mariners,away,0.0,676282,Joey Cantillo,693433.0,Bryan Woo,Final,F,680.0,T-Mobile Park,8.688172043010752,4.053763440860215,7.623655913978495,3.3225806451612905,0.23,0.311,0.379,0.69
2026-03-28,823161,Seattle Mariners,Cleveland Guardians,home,1.0,693433,Bryan Woo,676282.0,Joey Cantillo,Final,F,680.0,T-Mobile Park,8.340425531914894,3.9680851063829783,7.5,3.702127659574468,0.228,0.31,0.369,0.679
2026-03-28,823241,New York Yankees,San Francisco Giants,away,0.0,701542,Will Warren,641816.0,Tyler Mahle,Final,F,2395.0,Oracle Park,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696,0.254,0.307,0.418,0.725
2026-03-28,823241,San Francisco Giants,New York Yankees,home,1.0,641816,Tyler Mahle,701542.0,Will Warren,Final,F,2395.0,Oracle Park,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312,0.235,0.316,0.42,0.736
2026-03-28,823323,Detroit Tigers,San Diego Padres,away,0.0,656427,Jack Flaherty,681190.0,Randy Vásquez,Final,F,2680.0,Petco Park,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674
2026-03-28,823323,San Diego Padres,Detroit Tigers,home,1.0,681190,Randy Vásquez,656427.0,Jack Flaherty,Final,F,2680.0,Petco Park,8.684782608695652,4.25,7.869565217391305,3.619565217391304,0.236,0.315,0.398,0.713
2026-03-28,823488,Texas Rangers,Philadelphia Phillies,away,0.0,656641,Jacob Latz,605400.0,Aaron Nola,Final,F,2681.0,Citizens Bank Park,8.774193548387096,4.43010752688172,8.010752688172044,2.989247311827957,0.238,0.305,0.404,0.709
2026-03-28,823488,Philadelphia Phillies,Texas Rangers,home,1.0,605400,Aaron Nola,656641.0,Jacob Latz,Final,F,2681.0,Citizens Bank Park,8.347826086956522,4.086956521739131,8.108695652173912,3.2934782608695654,0.243,0.319,0.392,0.711
2026-03-28,823651,Pittsburgh Pirates,New York Mets,away,0.0,656605,Mitch Keller,656849.0,David Peterson,Final,F,3289.0,Citi Field,8.212765957446809,4.191489361702128,7.8936170212765955,3.0851063829787235,0.235,0.304,0.383,0.687
2026-03-28,823651,New York Mets,Pittsburgh Pirates,home,1.0,656849,David Peterson,656605.0,Mitch Keller,Final,F,3289.0,Citi Field,9.382978723404255,5.23404255319149,9.117021276595745,3.787234042553192,0.262,0.34,0.423,0.763
2026-03-28,823811,Chicago White Sox,Milwaukee Brewers,away,0.0,680732,Sean Burke,694477.0,Chad Patrick,Final,F,32.0,American Family Field,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305,0.255,0.337,0.397,0.734
2026-03-28,823811,Milwaukee Brewers,Chicago White Sox,home,1.0,694477,Chad Patrick,680732.0,Sean Burke,Final,F,32.0,American Family Field,8.956521739130435,4.673913043478261,7.989130434782608,3.391304347826087,0.239,0.318,0.409,0.727
2026-03-28,823892,Colorado Rockies,Miami Marlins,away,0.0,547179,Michael Lorenzen,691587.0,Eury Pérez,Final,F,4169.0,loanDepot park,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742
2026-03-28,823892,Miami Marlins,Colorado Rockies,home,1.0,691587,Eury Pérez,547179.0,Michael Lorenzen,Final,F,4169.0,loanDepot park,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466,0.257,0.328,0.424,0.752
2026-03-28,823973,Arizona Diamondbacks,Los Angeles Dodgers,away,0.0,593958,Eduardo Rodriguez,607192.0,Tyler Glasnow,Final,F,22.0,UNIQLO Field at Dodger Stadium,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383,0.264,0.346,0.437,0.783
2026-03-28,823973,Los Angeles Dodgers,Arizona Diamondbacks,home,1.0,607192,Tyler Glasnow,593958.0,Eduardo Rodriguez,Final,F,22.0,UNIQLO Field at Dodger Stadium,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69
2026-03-28,824213,Los Angeles Angels,Houston Astros,away,0.0,672282,Reid Detmers,664299.0,Cristian Javier,Final,F,2392.0,Daikin Park,8.189473684210526,4.547368421052632,8.105263157894736,3.284210526315789,0.241,0.315,0.41,0.725
2026-03-28,824213,Houston Astros,Los Angeles Angels,home,1.0,664299,Cristian Javier,672282.0,Reid Detmers,Final,F,2392.0,Daikin Park,9.451612903225806,4.462365591397849,8.053763440860216,3.204301075268817,0.239,0.315,0.393,0.708
2026-03-28,824540,Boston Red Sox,Cincinnati Reds,away,0.0,543243,Sonny Gray,663903.0,Brady Singer,Final,F,2602.0,Great American Ball Park,9.472527472527473,4.21978021978022,7.637362637362638,3.758241758241758,0.228,0.31,0.392,0.702
2026-03-28,824540,Cincinnati Reds,Boston Red Sox,home,1.0,663903,Brady Singer,543243.0,Sonny Gray,Final,F,2602.0,Great American Ball Park,8.241758241758241,4.087912087912088,8.164835164835164,2.989010989010989,0.244,0.314,0.387,0.701
2026-03-28,824701,Washington Nationals,Chicago Cubs,away,0.0,571945,Miles Mikolas,690990.0,Cade Horton,Final,F,17.0,Wrigley Field,8.365591397849462,5.064516129032258,8.344086021505376,4.365591397849462,0.244,0.337,0.412,0.749
2026-03-28,824701,Chicago Cubs,Washington Nationals,home,1.0,690990,Cade Horton,571945.0,Miles Mikolas,Final,F,17.0,Wrigley Field,8.26595744680851,5.404255319148936,8.606382978723405,3.4468085106382977,0.251,0.325,0.435,0.76
2026-03-28,824862,Minnesota Twins,Baltimore Orioles,away,0.0,671737,Taj Bradley,680694.0,Kyle Bradish,Final,F,2.0,Oriole Park at Camden Yards,9.074468085106384,4.553191489361702,7.914893617021277,3.851063829787234,0.238,0.32,0.396,0.716
2026-03-28,824862,Baltimore Orioles,Minnesota Twins,home,1.0,680694,Kyle Bradish,671737.0,Taj Bradley,Final,F,2.0,Oriole Park at Camden Yards,8.319148936170214,4.882978723404255,8.361702127659575,3.3297872340425534,0.247,0.322,0.414,0.736
2026-03-28,824945,Kansas City Royals,Atlanta Braves,away,0.0,608379,Michael Wacha,625643.0,Reynaldo López,Final,F,4705.0,Truist Park,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728
2026-03-28,824945,Atlanta Braves,Kansas City Royals,home,1.0,625643,Reynaldo López,608379.0,Michael Wacha,Final,F,4705.0,Truist Park,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511,0.247,0.318,0.398,0.716
