date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status
2026-07-11,823603,Boston Red Sox,New York Mets,away,677800,Wilyer Abreu,3,RF,Pre-Game
2026-07-11,823603,Boston Red Sox,New York Mets,away,702332,Caleb Durbin,4,3B,Pre-Game
2026-07-11,823603,Boston Red Sox,New York Mets,away,807799,Masataka Yoshida,5,DH,Pre-Game
2026-07-11,823603,Boston Red Sox,New York Mets,away,655316,Andruw Monasterio,6,1B,Pre-Game
2026-07-11,823603,Boston Red Sox,New York Mets,away,680776,Jarren Duran,7,LF,Pre-Game
2026-07-11,823603,Boston Red Sox,New York Mets,away,665966,Carlos Narváez,8,C,Pre-Game
2026-07-11,823603,Boston Red Sox,New York Mets,away,691907,Tsung-Che Cheng,9,SS,Pre-Game
2026-07-11,823603,New York Mets,Boston Red Sox,home,805999,A.J. Ewing,1,CF,Pre-Game
2026-07-11,823603,New York Mets,Boston Red Sox,home,665742,Juan Soto,2,LF,Pre-Game
2026-07-11,823603,New York Mets,Boston Red Sox,home,596019,Francisco Lindor,3,SS,Pre-Game
2026-07-11,823603,New York Mets,Boston Red Sox,home,701807,Carson Benge,4,RF,Pre-Game
2026-07-11,823603,New York Mets,Boston Red Sox,home,593871,Jorge Polanco,5,DH,Pre-Game
2026-07-11,823603,New York Mets,Boston Red Sox,home,676572,Eric Wagaman,6,1B,Pre-Game
2026-07-11,823603,New York Mets,Boston Red Sox,home,682626,Francisco Alvarez,7,C,Pre-Game
2026-07-11,823603,New York Mets,Boston Red Sox,home,683146,Brett Baty,8,3B,Pre-Game
2026-07-11,823603,New York Mets,Boston Red Sox,home,670097,Zack Short,9,2B,Pre-Game
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,away,641487,J.P. Crawford,1,3B,Pre-Game
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,away,668227,Randy Arozarena,2,LF,Pre-Game
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,away,686527,Dominic Canzone,3,DH,Pre-Game
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,away,663728,Cal Raleigh,4,C,Pre-Game
