date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status,lineup_status,lineup_source,home_team,away_team,venue,game_datetime
2026-07-23,824247,Kansas City Royals,Detroit Tigers,away,657041,Lane Thomas,3,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Kansas City Royals,Detroit Tigers,away,686469,Vinnie Pasquantino,4,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Kansas City Royals,Detroit Tigers,away,521692,Salvador Perez,5,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Kansas City Royals,Detroit Tigers,away,686681,Michael Massey,6,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Kansas City Royals,Detroit Tigers,away,686555,Isaac Collins,7,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Kansas City Royals,Detroit Tigers,away,679845,Nick Loftin,8,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Kansas City Royals,Detroit Tigers,away,686475,Tyler Tolbert,9,P,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Detroit Tigers,Kansas City Royals,home,805808,Kevin McGonigle,1,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Detroit Tigers,Kansas City Royals,home,693307,Dillon Dingler,2,C,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Detroit Tigers,Kansas City Royals,home,682985,Riley Greene,3,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Detroit Tigers,Kansas City Royals,home,663837,Matt Vierling,4,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Detroit Tigers,Kansas City Royals,home,701678,Hao-Yu Lee,5,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Detroit Tigers,Kansas City Royals,home,679529,Spencer Torkelson,6,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Detroit Tigers,Kansas City Royals,home,681481,Kerry Carpenter,7,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Detroit Tigers,Kansas City Royals,home,656716,Zach McKinstry,8,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Detroit Tigers,Kansas City Royals,home,681546,James Outman,9,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
