date,game_id,team,opponent,side,pitcher_id,pitcher_name,status
2026-07-09,823683,Cleveland Guardians,Minnesota Twins,away,668909,Gavin Williams,Final
2026-07-09,823683,Minnesota Twins,Cleveland Guardians,home,641927,Bailey Ober,Final
2026-07-09,824577,Boston Red Sox,Chicago White Sox,away,663776,Patrick Sandoval,Final
2026-07-09,824577,Chicago White Sox,Boston Red Sox,home,641743,Anthony Kay,Final
2026-07-09,824251,Athletics,Detroit Tigers,away,660761,José Suarez,Pre-Game
2026-07-09,824251,Detroit Tigers,Athletics,home,664285,Framber Valdez,Pre-Game
2026-07-09,823846,Seattle Mariners,Miami Marlins,away,682243,Bryce Miller,Pre-Game
2026-07-09,823846,Miami Marlins,Seattle Mariners,home,676083,Janson Junk,Pre-Game
2026-07-09,824494,Philadelphia Phillies,Cincinnati Reds,away,666200,Jesús Luzardo,Pre-Game
2026-07-09,824494,Cincinnati Reds,Philadelphia Phillies,home,663903,Brady Singer,Pre-Game
2026-07-09,823034,Milwaukee Brewers,St. Louis Cardinals,away,701656,Logan Henderson,Pre-Game
2026-07-09,823034,St. Louis Cardinals,Milwaukee Brewers,home,669467,Andre Pallante,Pre-Game
2026-07-09,822877,Los Angeles Angels,Texas Rangers,away,672282,Reid Detmers,Pre-Game
2026-07-09,822877,Texas Rangers,Los Angeles Angels,home,543135,Nathan Eovaldi,Pre-Game
2026-07-09,823277,Arizona Diamondbacks,San Diego Padres,away,518876,Merrill Kelly,Scheduled
2026-07-09,823277,San Diego Padres,Arizona Diamondbacks,home,656288,Griffin Canning,Scheduled
2026-07-09,823201,Colorado Rockies,San Francisco Giants,away,663372,Ryan Feltner,Pre-Game
2026-07-09,823201,San Francisco Giants,Colorado Rockies,home,687931,Carson Whisenhunt,Pre-Game
