date,game_id,pitcher_id,pitcher_name,team,opponent,side,actual_strikeouts,actual_ip,actual_walks,actual_hits,actual_earned_runs
2026-07-04,823118,669302,Logan Gilbert,Seattle Mariners,Toronto Blue Jays,home,7,7.1,0,1,0
2026-07-04,824499,687064,Brandon Young,Baltimore Orioles,Cincinnati Reds,away,5,5.0,3,8,4
2026-07-04,824499,668881,Hunter Greene,Cincinnati Reds,Baltimore Orioles,home,7,3.1,4,7,8
2026-07-04,824171,656876,Drew Rasmussen,Tampa Bay Rays,Houston Astros,away,2,5.0,1,6,5
2026-07-04,824171,686613,Hunter Brown,Houston Astros,Tampa Bay Rays,home,3,4.0,4,6,6
2026-07-04,824415,680732,Sean Burke,Chicago White Sox,Cleveland Guardians,away,11,6.0,0,7,1
2026-07-04,824415,800048,Parker Messick,Cleveland Guardians,Chicago White Sox,home,3,5.0,3,5,1
2026-07-04,824658,681517,Kyle Leahy,St. Louis Cardinals,Chicago Cubs,away,6,5.0,2,3,0
2026-07-04,824658,684007,Shota Imanaga,Chicago Cubs,St. Louis Cardinals,home,8,4.2,3,4,2
2026-07-04,824903,640455,Sean Manaea,New York Mets,Atlanta Braves,away,4,5.0,1,5,3
2026-07-04,824903,519242,Chris Sale,Atlanta Braves,New York Mets,home,3,5.0,2,7,3
2026-07-04,824334,592662,Robbie Ray,San Francisco Giants,Colorado Rockies,away,4,6.0,3,5,3
2026-07-04,824334,807743,Sean Sullivan,Colorado Rockies,San Francisco Giants,home,4,5.2,2,12,6
2026-07-04,824092,666200,Jesús Luzardo,Philadelphia Phillies,Kansas City Royals,away,9,6.0,0,4,1
2026-07-04,824092,608379,Michael Wacha,Kansas City Royals,Philadelphia Phillies,home,7,6.0,1,8,4
2026-07-04,824012,543243,Sonny Gray,Boston Red Sox,Los Angeles Angels,away,7,6.0,2,4,1
2026-07-04,824012,691951,Sam Aldegheri,Los Angeles Angels,Boston Red Sox,home,2,4.0,4,1,3
2026-07-04,824983,645261,Sandy Alcantara,Miami Marlins,Athletics,away,8,8.0,1,6,1
2026-07-04,824983,650644,Aaron Civale,Athletics,Miami Marlins,home,6,4.2,2,6,4
2026-07-04,825063,605540,Brandon Woodruff,Milwaukee Brewers,Arizona Diamondbacks,away,6,3.2,1,2,3
2026-07-04,825063,518876,Merrill Kelly,Arizona Diamondbacks,Milwaukee Brewers,home,6,5.0,2,8,2
2026-07-04,823932,593974,Wandy Peralta,San Diego Padres,Los Angeles Dodgers,away,0,1.0,1,1,0
2026-07-04,823932,808967,Yoshinobu Yamamoto,Los Angeles Dodgers,San Diego Padres,home,10,7.0,2,3,0
2026-07-05,824902,690997,Nolan McLean,New York Mets,Atlanta Braves,away,5,6.0,1,5,2
2026-07-05,824902,527048,Martín Pérez,Atlanta Braves,New York Mets,home,1,4.1,2,6,4
2026-07-05,822715,696149,Bubba Chandler,Pittsburgh Pirates,Washington Nationals,away,0,4.0,4,6,4
2026-07-05,822715,676917,Cade Cavalli,Washington Nationals,Pittsburgh Pirates,home,3,2.1,2,6,3
2026-07-05,824497,680694,Kyle Bradish,Baltimore Orioles,Cincinnati Reds,away,5,7.2,1,5,3
2026-07-05,824497,666157,Nick Lodolo,Cincinnati Reds,Baltimore Orioles,home,4,6.0,2,6,1
2026-07-05,823525,657746,Joe Ryan,Minnesota Twins,New York Yankees,away,9,7.0,1,3,0
2026-07-05,823525,677960,Ryan Weathers,New York Yankees,Minnesota Twins,home,6,4.0,2,6,4
2026-07-05,824413,669684,Chris Murphy,Chicago White Sox,Cleveland Guardians,away,1,0.2,1,3,3
2026-07-05,824413,676440,Tanner Bibee,Cleveland Guardians,Chicago White Sox,home,1,4.0,1,6,6
2026-07-05,824656,669461,Matthew Liberatore,St. Louis Cardinals,Chicago Cubs,away,3,5.0,2,4,3
2026-07-05,824656,665871,Javier Assad,Chicago Cubs,St. Louis Cardinals,home,2,4.2,2,2,0
2026-07-05,824091,605400,Aaron Nola,Philadelphia Phillies,Kansas City Royals,away,7,7.0,0,7,3
2026-07-05,824091,679883,Luinder Avila,Kansas City Royals,Philadelphia Phillies,home,4,5.0,1,3,1
2026-07-05,824172,669438,Mason Englert,Tampa Bay Rays,Houston Astros,away,9,5.2,1,5,2
2026-07-05,824172,663567,Peter Lambert,Houston Astros,Tampa Bay Rays,home,6,5.2,1,3,0
2026-07-05,822879,663554,Casey Mize,Detroit Tigers,Texas Rangers,away,4,6.2,2,5,2
2026-07-05,822879,677958,Kumar Rocker,Texas Rangers,Detroit Tigers,home,4,4.1,1,5,3
2026-07-05,824333,641816,Tyler Mahle,San Francisco Giants,Colorado Rockies,away,5,4.1,0,8,3
2026-07-05,824333,685299,Tanner Gordon,Colorado Rockies,San Francisco Giants,home,7,5.0,2,6,5
2026-07-05,825061,687075,Brandon Sproat,Milwaukee Brewers,Arizona Diamondbacks,away,4,4.0,3,5,1
2026-07-05,825061,593958,Eduardo Rodriguez,Arizona Diamondbacks,Milwaukee Brewers,home,3,6.0,0,5,2
2026-07-05,824980,691587,Eury Pérez,Miami Marlins,Athletics,away,8,7.0,0,0,0
2026-07-05,824980,695611,Gage Jump,Athletics,Miami Marlins,home,1,3.0,3,8,5
2026-07-05,823117,702056,Trey Yesavage,Toronto Blue Jays,Seattle Mariners,away,7,6.0,2,3,2
2026-07-05,823117,676106,Emerson Hancock,Seattle Mariners,Toronto Blue Jays,home,5,7.0,2,2,0
2026-07-05,823931,676664,JP Sears,San Diego Padres,Los Angeles Dodgers,away,5,5.0,2,1,0
2026-07-05,823931,686218,Emmet Sheehan,Los Angeles Dodgers,San Diego Padres,home,5,4.1,3,3,1
2026-07-05,824010,624133,Ranger Suarez,Boston Red Sox,Los Angeles Angels,away,5,2.2,0,6,3
2026-07-05,824010,696270,Ryan Johnson,Los Angeles Angels,Boston Red Sox,home,6,4.0,1,6,2
2026-07-06,824089,650911,Cristopher Sánchez,Philadelphia Phillies,Kansas City Royals,away,1,3.1,1,12,9
2026-07-06,824089,702070,Noah Cameron,Kansas City Royals,Philadelphia Phillies,home,7,5.0,5,6,1
2026-07-06,822958,693645,Cam Schlittler,New York Yankees,Tampa Bay Rays,away,8,8.0,0,4,1
2026-07-06,822958,643377,Griffin Jax,Tampa Bay Rays,New York Yankees,home,10,5.0,2,1,3
2026-07-06,822712,681347,Mike Burrows,Houston Astros,Washington Nationals,away,3,4.1,2,9,7
2026-07-06,822712,571945,Miles Mikolas,Washington Nationals,Houston Astros,home,3,6.0,2,9,7
2026-07-06,824900,642547,Freddy Peralta,New York Mets,Atlanta Braves,away,6,4.2,1,6,1
2026-07-06,824900,625643,Reynaldo López,Atlanta Braves,New York Mets,home,5,5.0,2,3,1
2026-07-06,823036,675660,Shane Drohan,Milwaukee Brewers,St. Louis Cardinals,away,2,6.0,2,6,1
2026-07-06,823036,669160,Dustin May,St. Louis Cardinals,Milwaukee Brewers,home,7,4.2,0,4,0
2026-07-06,823282,694297,Brandon Pfaadt,Arizona Diamondbacks,San Diego Padres,away,6,5.0,0,4,0
2026-07-06,823282,621111,Walker Buehler,San Diego Padres,Arizona Diamondbacks,home,4,5.0,1,7,7
2026-07-06,823205,592332,Kevin Gausman,Toronto Blue Jays,San Francisco Giants,away,8,5.1,5,5,4
2026-07-06,823205,694738,Landen Roupp,San Francisco Giants,Toronto Blue Jays,home,5,8.0,2,3,1
2026-07-06,823930,607536,Kyle Freeland,Colorado Rockies,Los Angeles Dodgers,away,2,5.0,0,9,6
2026-07-06,823930,641778,Eric Lauer,Los Angeles Dodgers,Colorado Rockies,home,3,6.0,2,6,3
2026-07-07,823062,694819,Jacob Misiorowski,Milwaukee Brewers,St. Louis Cardinals,away,11,7.0,0,3,3
2026-07-07,823062,694335,Matt Svanson,St. Louis Cardinals,Milwaukee Brewers,home,1,1.0,0,1,0
2026-07-07,823035,688107,Robert Gasser,Milwaukee Brewers,St. Louis Cardinals,away,4,7.2,1,4,2
2026-07-07,823035,690928,Hunter Dobbins,St. Louis Cardinals,Milwaukee Brewers,home,4,5.0,3,4,3
2026-07-07,824820,571510,Matthew Boyd,Chicago Cubs,Baltimore Orioles,away,7,6.0,2,3,0
2026-07-07,824820,669358,Shane Baz,Baltimore Orioles,Chicago Cubs,home,3,6.0,3,6,3
