pitcher_id,pitcher_name,team,game_date,innings,strikeouts,walks,hits,earned_runs,home_runs,era
676917,Cade Cavalli,Washington Nationals,2026-07-05,2.1,3,2,6,3,1,3.88
676917,Cade Cavalli,Washington Nationals,2026-06-30,7.0,13,0,1,0,0,3.69
676917,Cade Cavalli,Washington Nationals,2026-06-25,6.0,7,1,5,2,1,4.00
676917,Cade Cavalli,Washington Nationals,2026-06-20,2.2,1,3,6,2,0,4.07
676917,Cade Cavalli,Washington Nationals,2026-06-13,5.0,5,0,4,3,1,3.98
571510,Matthew Boyd,Chicago Cubs,2026-07-07,6.0,7,2,3,0,0,4.31
571510,Matthew Boyd,Chicago Cubs,2026-06-30,5.0,2,0,8,3,2,5.08
571510,Matthew Boyd,Chicago Cubs,2026-06-25,4.2,4,4,4,0,0,5.02
571510,Matthew Boyd,Chicago Cubs,2026-05-03,6.0,5,1,4,2,1,6.00
571510,Matthew Boyd,Chicago Cubs,2026-04-27,4.0,4,2,8,5,0,7.00
671096,Andrew Abbott,Cincinnati Reds,2026-07-07,6.0,8,0,5,3,1,3.92
671096,Andrew Abbott,Cincinnati Reds,2026-07-01,5.0,3,5,5,2,0,3.88
671096,Andrew Abbott,Cincinnati Reds,2026-06-26,5.1,6,1,6,3,3,3.90
671096,Andrew Abbott,Cincinnati Reds,2026-06-20,5.0,6,3,5,1,1,3.83
671096,Andrew Abbott,Cincinnati Reds,2026-06-14,5.0,5,3,4,1,1,3.95
801139,Payton Tolle,Boston Red Sox,2026-07-07,6.0,6,1,2,0,0,3.14
801139,Payton Tolle,Boston Red Sox,2026-07-01,3.0,5,3,7,6,2,3.39
801139,Payton Tolle,Boston Red Sox,2026-06-26,7.0,7,2,1,0,0,2.78
801139,Payton Tolle,Boston Red Sox,2026-06-21,6.0,2,2,6,3,1,3.08
801139,Payton Tolle,Boston Red Sox,2026-06-16,5.0,6,2,4,3,2,2.93
804267,Zach Thornton,New York Mets,2026-06-26,6.0,7,1,5,1,0,4.35
804267,Zach Thornton,New York Mets,2026-05-20,4.1,3,2,4,4,1,8.31
676106,Emerson Hancock,Seattle Mariners,2026-07-05,7.0,5,2,2,0,0,3.23
676106,Emerson Hancock,Seattle Mariners,2026-06-28,5.2,6,3,5,1,0,3.47
676106,Emerson Hancock,Seattle Mariners,2026-06-20,5.1,6,2,4,5,1,3.60
676106,Emerson Hancock,Seattle Mariners,2026-06-14,4.0,2,0,9,6,1,3.28
676106,Emerson Hancock,Seattle Mariners,2026-06-08,5.0,3,2,3,1,0,2.74
693855,Ian Seymour,Tampa Bay Rays,2026-07-07,5.1,12,0,5,3,1,4.11
693855,Ian Seymour,Tampa Bay Rays,2026-07-02,6.0,8,1,3,1,1,4.02
693855,Ian Seymour,Tampa Bay Rays,2026-06-25,6.2,7,1,0,0,0,4.32
693855,Ian Seymour,Tampa Bay Rays,2026-06-20,5.0,4,0,7,3,1,4.98
693855,Ian Seymour,Tampa Bay Rays,2026-06-14,3.1,3,3,2,2,1,4.93
554430,Zack Wheeler,Philadelphia Phillies,2026-07-07,7.0,14,0,4,1,1,2.28
554430,Zack Wheeler,Philadelphia Phillies,2026-07-01,4.2,10,1,9,4,1,2.36
554430,Zack Wheeler,Philadelphia Phillies,2026-06-26,7.0,5,1,4,1,0,2.03
554430,Zack Wheeler,Philadelphia Phillies,2026-06-21,5.2,7,3,4,2,1,2.11
554430,Zack Wheeler,Philadelphia Phillies,2026-06-15,6.0,9,3,2,0,0,2.01
669373,Tarik Skubal,Detroit Tigers,2026-07-07,5.0,9,2,5,1,1,3.06
669373,Tarik Skubal,Detroit Tigers,2026-06-30,6.0,9,0,1,1,1,3.15
