date,season,game_id,pitcher_id,pitcher_name,team,opponent,side,is_home,games,games_started,innings_pitched,innings_decimal,era,whip,strikeouts,walks,hits_allowed,earned_runs,home_runs_allowed,batters_faced,wins,losses,season_k_per_start,avg_ip_per_start,walks_per_start,hits_per_start,earned_runs_per_start,win_rate,k_per_9,bb_per_9,hits_per_9,hr_per_9,strikeout_rate,walk_rate,k_minus_bb_rate,fip_component
2026-07-17,2026,824170,663567,Peter Lambert,Houston Astros,Baltimore Orioles,home,1,16.0,16.0,92.0,92.0,3.03,1.11,91.0,36.0,66.0,31.0,11.0,379.0,8.0,5.0,5.6875,5.75,2.25,4.125,1.9375,0.5,8.902173913043478,3.5217391304347827,6.456521739130435,1.076086956521739,0.24010554089709762,0.09498680738786279,0.14511873350923482,0.75
2026-07-17,2026,824090,607625,Seth Lugo,Kansas City Royals,San Diego Padres,home,1,20.0,20.0,110.2,110.66666666666667,4.39,1.41,89.0,36.0,120.0,54.0,15.0,473.0,3.0,6.0,4.45,5.533333333333333,1.8,6.0,2.7,0.15,7.2379518072289155,2.927710843373494,9.759036144578312,1.219879518072289,0.18816067653276955,0.07610993657505286,0.1120507399577167,1.1295180722891567
2026-07-17,2026,824009,672282,Reid Detmers,Los Angeles Angels,Detroit Tigers,home,1,20.0,20.0,114.2,114.66666666666667,4.16,1.12,130.0,35.0,93.0,53.0,12.0,474.0,3.0,6.0,6.5,5.733333333333333,1.75,4.65,2.65,0.15,10.203488372093023,2.7470930232558137,7.299418604651162,0.9418604651162791,0.2742616033755274,0.07383966244725738,0.20042194092827004,0.00872093023255814
2026-07-17,2026,823524,808963,Roki Sasaki,Los Angeles Dodgers,New York Yankees,away,0,17.0,17.0,86.2,86.66666666666667,4.98,1.34,85.0,34.0,82.0,48.0,19.0,374.0,3.0,5.0,5.0,5.098039215686275,2.0,4.823529411764706,2.823529411764706,0.17647058823529413,8.826923076923077,3.5307692307692307,8.515384615384615,1.973076923076923,0.22727272727272727,0.09090909090909091,0.13636363636363635,2.065384615384615
2026-07-17,2026,823766,645261,Sandy Alcantara,Miami Marlins,Milwaukee Brewers,away,0,21.0,21.0,136.2,136.66666666666666,3.89,1.22,107.0,37.0,130.0,59.0,14.0,568.0,10.0,5.0,5.095238095238095,6.507936507936508,1.7619047619047619,6.190476190476191,2.8095238095238093,0.47619047619047616,7.046341463414635,2.436585365853659,8.560975609756099,0.9219512195121952,0.18838028169014084,0.06514084507042253,0.12323943661971831,0.578048780487805
2026-07-17,2026,823766,701656,Logan Henderson,Milwaukee Brewers,Miami Marlins,home,1,7.0,7.0,33.1,33.333333333333336,2.97,0.93,38.0,7.0,24.0,11.0,3.0,128.0,3.0,1.0,5.428571428571429,4.761904761904762,1.0,3.4285714285714284,1.5714285714285714,0.42857142857142855,10.26,1.89,6.4799999999999995,0.8099999999999999,0.296875,0.0546875,0.2421875,-0.48
2026-07-17,2026,824655,641927,Bailey Ober,Minnesota Twins,Chicago Cubs,away,0,14.0,14.0,77.0,77.0,4.32,1.19,58.0,21.0,71.0,37.0,13.0,321.0,7.0,3.0,4.142857142857143,5.5,1.5,5.071428571428571,2.642857142857143,0.5,6.779220779220779,2.4545454545454546,8.2987012987013,1.5194805194805194,0.1806853582554517,0.06542056074766354,0.11526479750778816,1.5064935064935066
2026-07-17,2026,823524,543037,Gerrit Cole,New York Yankees,Los Angeles Dodgers,home,1,10.0,10.0,55.0,55.0,3.93,1.16,55.0,12.0,52.0,24.0,9.0,230.0,3.0,5.0,5.5,5.5,1.2,5.2,2.4,0.3,9.0,1.9636363636363636,8.50909090909091,1.4727272727272727,0.2391304347826087,0.05217391304347826,0.18695652173913044,0.7818181818181819
2026-07-17,2026,824414,683003,Jared Jones,Pittsburgh Pirates,Cleveland Guardians,away,0,8.0,8.0,35.0,35.0,4.37,1.14,39.0,11.0,29.0,17.0,5.0,144.0,1.0,1.0,4.875,4.375,1.375,3.625,2.125,0.125,10.028571428571428,2.8285714285714287,7.457142857142857,1.2857142857142858,0.2708333333333333,0.0763888888888889,0.19444444444444442,0.5714285714285714
2026-07-17,2026,824090,650633,Michael King,San Diego Padres,Kansas City Royals,away,0,20.0,20.0,113.1,113.33333333333333,3.34,1.16,96.0,45.0,86.0,42.0,11.0,464.0,6.0,7.0,4.8,5.666666666666666,2.25,4.3,2.1,0.3,7.623529411764706,3.573529411764706,6.829411764705883,0.8735294117647059,0.20689655172413793,0.09698275862068965,0.10991379310344827,0.7588235294117648
2026-07-17,2026,823115,694738,Landen Roupp,San Francisco Giants,Seattle Mariners,away,0,19.0,19.0,104.0,104.0,3.98,1.27,106.0,45.0,87.0,46.0,7.0,435.0,7.0,8.0,5.578947368421052,5.473684210526316,2.3684210526315788,4.578947368421052,2.4210526315789473,0.3684210526315789,9.173076923076923,3.894230769230769,7.528846153846154,0.6057692307692307,0.24367816091954023,0.10344827586206896,0.14022988505747125,0.1346153846153846
2026-07-17,2026,823115,682243,Bryce Miller,Seattle Mariners,San Francisco Giants,home,1,11.0,10.0,63.1,63.333333333333336,2.27,0.88,71.0,10.0,46.0,16.0,9.0,241.0,4.0,4.0,7.1,6.333333333333334,1.0,4.6,1.6,0.4,10.089473684210526,1.4210526315789473,6.536842105263157,1.2789473684210526,0.2946058091286307,0.04149377593360996,0.25311203319502074,0.07894736842105263
2026-07-17,2026,825060,700241,Michael McGreevy,St. Louis Cardinals,Arizona Diamondbacks,away,0,19.0,19.0,108.0,108.0,2.92,1.1,71.0,24.0,95.0,35.0,14.0,427.0,4.0,7.0,3.736842105263158,5.684210526315789,1.263157894736842,5.0,1.8421052631578947,0.21052631578947367,5.916666666666667,2.0,7.916666666666667,1.1666666666666667,0.16627634660421545,0.05620608899297424,0.1100702576112412,1.037037037037037
2026-07-17,2026,824766,643377,Griffin Jax,Tampa Bay Rays,Boston Red Sox,away,0,26.0,15.0,75.0,75.0,4.08,1.27,77.0,26.0,69.0,34.0,13.0,312.0,5.0,7.0,5.133333333333334,5.0,1.7333333333333334,4.6,2.2666666666666666,0.3333333333333333,9.24,3.12,8.28,1.56,0.2467948717948718,0.08333333333333333,0.1634615384615385,1.24
2026-07-17,2026,824737,669438,Mason Englert,Tampa Bay Rays,Boston Red Sox,away,0,14.0,3.0,35.2,35.666666666666664,4.54,1.43,32.0,8.0,43.0,18.0,9.0,157.0,0.0,3.0,10.666666666666666,11.888888888888888,2.6666666666666665,14.333333333333334,6.0,0.0,8.074766355140188,2.018691588785047,10.850467289719626,2.2710280373831777,0.20382165605095542,0.050955414012738856,0.15286624203821658,2.1588785046728973
2026-07-17,2026,824901,615698,Cal Quantrill,Texas Rangers,Atlanta Braves,away,0,20.0,5.0,50.1,50.333333333333336,3.93,1.29,31.0,14.0,51.0,22.0,8.0,216.0,3.0,2.0,6.2,10.066666666666666,2.8,10.2,4.4,0.6,5.543046357615894,2.5033112582781456,9.119205298013245,1.4304635761589404,0.14351851851851852,0.06481481481481481,0.0787037037037037,1.6688741721854303
2026-07-17,2026,822789,693686,Spencer Miles,Toronto Blue Jays,Chicago White Sox,home,1,27.0,4.0,64.0,64.0,3.52,1.13,61.0,19.0,53.0,25.0,5.0,261.0,4.0,2.0,15.25,16.0,4.75,13.25,6.25,1.0,8.578125,2.671875,7.453125,0.703125,0.23371647509578544,0.07279693486590039,0.16091954022988506,0.0
2026-07-17,2026,824981,676917,Cade Cavalli,Washington Nationals,Athletics,away,0,21.0,21.0,104.2,104.66666666666667,3.78,1.31,119.0,32.0,105.0,44.0,9.0,454.0,5.0,4.0,5.666666666666667,4.984126984126984,1.5238095238095237,5.0,2.0952380952380953,0.23809523809523808,10.23248407643312,2.751592356687898,9.028662420382165,0.7738853503184713,0.2621145374449339,0.07048458149779736,0.19162995594713655,-0.23885350318471338
