date,game_id,pitcher_id,pitcher_name,team,opponent,side,actual_strikeouts,actual_ip,actual_walks,actual_hits,actual_earned_runs,status,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops,last5_avg_ks,last5_avg_ip,last5_avg_hits,last5_avg_walks,last5_avg_er,last3_avg_ks,last3_avg_ip
2026-07-02,823935,681190,Randy Vásquez,San Diego Padres,Los Angeles Dodgers,away,0,3.0,1,7,4,Final,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383,0.264,0.346,0.437,0.783,,,,,,,
2026-07-02,823935,808963,Roki Sasaki,Los Angeles Dodgers,San Diego Padres,home,3,3.0,2,7,6,Final,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674,,,,,,,
2026-07-03,824659,669467,Andre Pallante,St. Louis Cardinals,Chicago Cubs,away,2,5.2,1,5,0,Final,8.365591397849462,5.064516129032258,8.344086021505376,4.365591397849462,0.244,0.337,0.412,0.749,4.0,5.0200000000000005,4.4,2.8,2.4,5.0,5.033333333333333
2026-07-03,824659,656849,David Peterson,Chicago Cubs,St. Louis Cardinals,home,3,3.2,3,9,10,Final,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715,4.4,4.48,5.8,2.0,2.8,4.666666666666667,4.4
2026-07-03,822714,656605,Mitch Keller,Pittsburgh Pirates,Washington Nationals,away,1,6.0,0,8,5,Final,8.26595744680851,5.404255319148936,8.606382978723405,3.4468085106382977,0.251,0.325,0.435,0.76,3.8,5.8,4.6,1.8,1.8,4.0,5.666666666666667
2026-07-03,822714,656492,Foster Griffin,Washington Nationals,Pittsburgh Pirates,home,2,5.0,1,4,1,Final,9.382978723404255,5.23404255319149,9.117021276595745,3.787234042553192,0.262,0.34,0.423,0.763,,,,,,,
2026-07-03,823527,702474,Mike Paredes,Minnesota Twins,New York Yankees,away,2,4.0,2,4,3,Final,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312,0.235,0.316,0.42,0.736,,,,,,,
2026-07-03,823527,543037,Gerrit Cole,New York Yankees,Minnesota Twins,home,7,5.0,0,5,2,Final,8.319148936170214,4.882978723404255,8.361702127659575,3.3297872340425534,0.247,0.322,0.414,0.736,,,,,,,
2026-07-03,824498,669432,Trevor Rogers,Baltimore Orioles,Cincinnati Reds,away,4,5.0,5,2,0,Final,9.472527472527473,4.21978021978022,7.637362637362638,3.758241758241758,0.228,0.31,0.392,0.702,5.0,5.64,6.0,1.6,2.6,5.666666666666667,5.066666666666666
2026-07-03,824498,663903,Brady Singer,Cincinnati Reds,Baltimore Orioles,home,6,5.0,5,3,2,Final,9.074468085106384,4.553191489361702,7.914893617021277,3.851063829787234,0.238,0.32,0.396,0.716,3.2,4.64,6.4,1.4,2.8,2.0,4.733333333333333
2026-07-03,824417,641743,Anthony Kay,Chicago White Sox,Cleveland Guardians,away,2,4.0,2,1,1,Final,8.340425531914894,3.9680851063829774,7.5,3.702127659574468,0.228,0.31,0.369,0.679,2.6,3.78,4.2,2.4,2.6,2.6666666666666665,3.5333333333333337
2026-07-03,824417,668909,Gavin Williams,Cleveland Guardians,Chicago White Sox,home,6,4.2,2,5,3,Final,8.956521739130435,4.673913043478261,7.989130434782608,3.391304347826087,0.239,0.318,0.409,0.727,8.0,5.84,2.6,3.4,1.4,7.666666666666667,5.733333333333333
2026-07-03,824904,681035,Christian Scott,New York Mets,Atlanta Braves,away,7,4.0,4,2,3,Final,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728,,,,,,,
2026-07-03,824904,656550,Grant Holmes,Atlanta Braves,New York Mets,home,2,5.0,1,5,1,Final,8.212765957446809,4.191489361702128,7.8936170212765955,3.0851063829787235,0.235,0.304,0.383,0.687,,,,,,,
2026-07-03,824336,657277,Logan Webb,San Francisco Giants,Colorado Rockies,away,2,3.0,2,11,7,Final,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466,0.257,0.328,0.424,0.752,,,,,,,
2026-07-03,824336,663372,Ryan Feltner,Colorado Rockies,San Francisco Giants,home,9,6.0,0,6,2,Final,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696,0.254,0.307,0.418,0.725,3.4,3.86,4.4,1.6,2.8,4.0,3.733333333333333
2026-07-03,824173,607259,Nick Martinez,Tampa Bay Rays,Houston Astros,away,3,5.1,1,3,1,Final,8.189473684210526,4.547368421052632,8.105263157894736,3.284210526315789,0.241,0.315,0.41,0.725,,,,,,,
2026-07-03,824173,681293,Spencer Arrighetti,Houston Astros,Tampa Bay Rays,home,4,6.0,1,2,1,Final,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383,0.258,0.334,0.396,0.73,,,,,,,
2026-07-03,824013,687562,Jake Bennett,Boston Red Sox,Los Angeles Angels,away,6,7.2,0,5,2,Final,9.451612903225806,4.462365591397849,8.053763440860216,3.204301075268817,0.239,0.315,0.393,0.708,,,,,,,
2026-07-03,824013,672282,Reid Detmers,Los Angeles Angels,Boston Red Sox,home,5,5.0,3,7,5,Final,8.241758241758241,4.087912087912088,8.164835164835164,2.989010989010989,0.244,0.314,0.387,0.701,6.2,5.5,4.6,1.6,2.6,6.0,5.7
2026-07-03,824982,663969,Tyler Phillips,Miami Marlins,Athletics,away,2,3.1,2,7,5,Final,8.75,4.554347826086956,8.423913043478262,3.630434782608696,0.247,0.325,0.407,0.732,,,,,,,
2026-07-03,824982,678022,Jack Perkins,Athletics,Miami Marlins,home,8,3.2,4,7,7,Final,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742,,,,,,,
2026-07-03,825062,690986,Kyle Harrison,Milwaukee Brewers,Arizona Diamondbacks,away,3,2.2,1,5,3,Final,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69,,,,,,,
2026-07-03,825062,703615,Jose Cabrera,Arizona Diamondbacks,Milwaukee Brewers,home,3,3.1,3,6,3,Final,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305,0.255,0.337,0.397,0.734,,,,,,,
2026-07-03,823933,650633,Michael King,San Diego Padres,Los Angeles Dodgers,away,5,6.0,2,3,2,Final,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383,0.264,0.346,0.437,0.783,,,,,,,
2026-07-03,823933,660271,Shohei Ohtani,Los Angeles Dodgers,San Diego Padres,home,9,6.0,2,7,3,Final,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674,,,,,,,
2026-07-03,823120,656302,Dylan Cease,Toronto Blue Jays,Seattle Mariners,away,9,7.0,1,3,0,Final,8.688172043010752,4.053763440860215,7.623655913978495,3.3225806451612905,0.23,0.311,0.379,0.69,,,,,,,
2026-07-03,823120,622491,Luis Castillo,Seattle Mariners,Toronto Blue Jays,home,4,6.0,1,5,2,Final,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245,0.244,0.305,0.383,0.688,,,,,,,
2026-07-04,822716,677952,Braxton Ashcraft,Pittsburgh Pirates,Washington Nationals,away,7,5.2,2,6,1,Final,8.26595744680851,5.404255319148936,8.606382978723405,3.4468085106382977,0.251,0.325,0.435,0.76,,,,,,,
2026-07-04,822716,687223,Carson Palmquist,Washington Nationals,Pittsburgh Pirates,home,3,1.0,0,4,4,Final,9.382978723404255,5.23404255319149,9.117021276595745,3.787234042553192,0.262,0.34,0.423,0.763,,,,,,,
2026-07-04,823526,805673,Zebby Matthews,Minnesota Twins,New York Yankees,away,5,4.2,4,3,4,Final,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312,0.235,0.316,0.42,0.736,,,,,,,
2026-07-04,823526,694341,Brendan Beck,New York Yankees,Minnesota Twins,home,3,3.2,2,5,5,Final,8.319148936170214,4.882978723404255,8.361702127659575,3.3297872340425534,0.247,0.322,0.414,0.736,,,,,,,
2026-07-04,822882,656427,Jack Flaherty,Detroit Tigers,Texas Rangers,away,5,5.2,0,3,0,Final,8.347826086956522,4.086956521739131,8.108695652173912,3.2934782608695654,0.243,0.319,0.392,0.711,,,,,,,
2026-07-04,822882,615698,Cal Quantrill,Texas Rangers,Detroit Tigers,home,2,5.0,1,3,2,Final,8.684782608695652,4.25,7.869565217391305,3.619565217391304,0.236,0.315,0.398,0.713,,,,,,,
2026-07-04,823118,669456,Shane Bieber,Toronto Blue Jays,Seattle Mariners,away,3,4.0,3,6,7,Final,8.688172043010752,4.053763440860215,7.623655913978495,3.3225806451612905,0.23,0.311,0.379,0.69,,,,,,,
2026-07-04,823118,669302,Logan Gilbert,Seattle Mariners,Toronto Blue Jays,home,7,7.1,0,1,0,Final,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245,0.244,0.305,0.383,0.688,,,,,,,
2026-07-04,824499,687064,Brandon Young,Baltimore Orioles,Cincinnati Reds,away,5,5.0,3,8,4,Final,9.472527472527473,4.21978021978022,7.637362637362638,3.758241758241758,0.228,0.31,0.392,0.702,,,,,,,
2026-07-04,824499,668881,Hunter Greene,Cincinnati Reds,Baltimore Orioles,home,7,3.1,4,7,8,Final,9.074468085106384,4.553191489361702,7.914893617021277,3.851063829787234,0.238,0.32,0.396,0.716,,,,,,,
2026-07-04,824171,656876,Drew Rasmussen,Tampa Bay Rays,Houston Astros,away,2,5.0,1,6,5,Final,8.189473684210526,4.547368421052632,8.105263157894736,3.284210526315789,0.241,0.315,0.41,0.725,5.2,5.04,3.0,0.8,1.4,5.333333333333333,5.066666666666666
2026-07-04,824171,686613,Hunter Brown,Houston Astros,Tampa Bay Rays,home,3,4.0,4,6,6,Final,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383,0.258,0.334,0.396,0.73,,,,,,,
