date,game_id,player_id,player_name,team,opponent,side,batting_order,position,prior_games,days_rest,projected_hits,projected_total_bases
2026-07-10,824252,679529,Spencer Torkelson,Detroit Tigers,Philadelphia Phillies,home,4,1B,92.0,1.0,0.891,1.696
2026-07-10,824493,683737,Michael Busch,Chicago Cubs,Cincinnati Reds,away,3,1B,92.0,1.0,0.938,1.695
2026-07-10,824252,681082,Bryson Stott,Philadelphia Phillies,Detroit Tigers,away,6,2B,88.0,1.0,0.922,1.695
2026-07-10,823033,643289,Mauricio Dubón,Atlanta Braves,St. Louis Cardinals,away,5,LF,88.0,1.0,0.939,1.694
2026-07-10,823685,694384,Nolan Schanuel,Los Angeles Angels,Minnesota Twins,away,2,1B,74.0,1.0,0.927,1.694
2026-07-10,823604,677800,Wilyer Abreu,Boston Red Sox,New York Mets,away,3,RF,89.0,1.0,0.934,1.693
2026-07-10,824575,803011,Sam Antonacci,Chicago White Sox,Athletics,home,1,3B,73.0,1.0,0.959,1.687
2026-07-10,822955,641487,J.P. Crawford,Seattle Mariners,Tampa Bay Rays,away,1,SS,76.0,1.0,0.944,1.686
2026-07-10,822878,669394,Jake Burger,Texas Rangers,Houston Astros,home,5,1B,89.0,1.0,0.946,1.684
2026-07-10,822709,695734,Daylen Lile,Washington Nationals,New York Yankees,home,6,DH,92.0,2.0,0.909,1.68
2026-07-10,823604,596019,Francisco Lindor,New York Mets,Boston Red Sox,home,3,SS,37.0,1.0,1.028,1.677
2026-07-10,823033,645277,Ozzie Albies,Atlanta Braves,St. Louis Cardinals,away,2,2B,92.0,1.0,0.915,1.676
2026-07-10,823604,807799,Masataka Yoshida,Boston Red Sox,New York Mets,away,5,DH,58.0,2.0,0.87,1.674
2026-07-10,822878,572233,Christian Walker,Houston Astros,Texas Rangers,away,4,1B,93.0,2.0,0.858,1.672
2026-07-10,823685,624585,Jorge Soler,Los Angeles Angels,Minnesota Twins,away,4,DH,71.0,1.0,0.979,1.671
2026-07-10,823278,664034,Ty France,San Diego Padres,Toronto Blue Jays,home,6,1B,67.0,4.0,0.845,1.671
2026-07-10,823685,687263,Zach Neto,Los Angeles Angels,Minnesota Twins,away,1,SS,91.0,1.0,0.909,1.669
2026-07-10,822709,695578,James Wood,Washington Nationals,New York Yankees,home,1,RF,94.0,2.0,1.009,1.668
2026-07-10,823845,681715,Heriberto Hernández,Miami Marlins,Cleveland Guardians,home,2,LF,64.0,1.0,0.9,1.668
2026-07-10,823278,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,San Diego Padres,away,2,1B,88.0,2.0,0.921,1.661
2026-07-10,824575,695657,Colson Montgomery,Chicago White Sox,Athletics,home,4,SS,88.0,1.0,0.89,1.653
2026-07-10,823200,642715,Willy Adames,San Francisco Giants,Colorado Rockies,home,5,SS,88.0,1.0,0.845,1.653
2026-07-10,822709,641355,Cody Bellinger,New York Yankees,Washington Nationals,away,5,LF,91.0,1.0,0.923,1.652
